file_path,filename,state,condition,sample_rate,duration_s,channels,tier1_label,tier1_name,tier2_label,tier2_name,tier3_label,tier3_name
car_diagnostics_dataset/idle state/power_steering/power_steering_86.wav,power_steering_86.wav,idle state,power_steering,44100,1.5,1,1,Anomaly,3,Idle Fault,4,Power Steering Fault
car_diagnostics_dataset/idle state/low_oil/low_oil_54.wav,low_oil_54.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_14.wav,normal_engine_idle_14.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_97.wav,serpentine_belt_97.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_1.wav,serpentine_belt_1.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_132.wav,normal_engine_idle_132.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_196.wav,normal_engine_idle_196.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/braking state/normal_brakes/normal_brakes_21.wav,normal_brakes_21.wav,braking state,normal_brakes,44100,1.5,1,0,Normal,0,Normal Braking,0,Normal Braking
car_diagnostics_dataset/startup state/normal_engine_startup/normal_engine_startup_35.wav,normal_engine_startup_35.wav,startup state,normal_engine_startup,44100,1.7,1,0,Normal,4,Normal Start-Up,6,Normal Start-Up
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_94.wav,normal_engine_idle_94.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/combined/power steering combined_no oil_serpentine belt/mix_25.wav,mix_25.wav,idle state,combined/power steering combined_no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/no oil_serpentine belt/mix_70.wav,mix_70.wav,idle state,combined/no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_5.wav,serpentine_belt_5.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/idle state/combined/power steering combined_no oil_serpentine belt/mix_42.wav,mix_42.wav,idle state,combined/power steering combined_no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_33.wav,mix_33.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/startup state/bad_ignition/bad_ignition_27.wav,bad_ignition_27.wav,startup state,bad_ignition,44100,1.7,1,1,Anomaly,5,Start-Up Fault,7,Bad Ignition
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_35.wav,serpentine_belt_35.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/braking state/worn_out_brakes/worn_out_brakes_14.wav,worn_out_brakes_14.wav,braking state,worn_out_brakes,44100,1.5,1,1,Anomaly,1,Braking Fault,1,Worn Brakes
car_diagnostics_dataset/idle state/power_steering/power_steering_124.wav,power_steering_124.wav,idle state,power_steering,44100,1.5,1,1,Anomaly,3,Idle Fault,4,Power Steering Fault
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_37.wav,serpentine_belt_37.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_12.wav,mix_12.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/power_steering/power_steering_72.wav,power_steering_72.wav,idle state,power_steering,44100,1.5,1,1,Anomaly,3,Idle Fault,4,Power Steering Fault
car_diagnostics_dataset/braking state/normal_brakes/normal_brakes_9.wav,normal_brakes_9.wav,braking state,normal_brakes,44100,1.5,1,0,Normal,0,Normal Braking,0,Normal Braking
car_diagnostics_dataset/startup state/bad_ignition/bad_ignition_14.wav,bad_ignition_14.wav,startup state,bad_ignition,44100,1.7,1,1,Anomaly,5,Start-Up Fault,7,Bad Ignition
car_diagnostics_dataset/startup state/normal_engine_startup/normal_engine_startup_56.wav,normal_engine_startup_56.wav,startup state,normal_engine_startup,44100,1.7,1,0,Normal,4,Normal Start-Up,6,Normal Start-Up
car_diagnostics_dataset/idle state/power_steering/power_steering_26.wav,power_steering_26.wav,idle state,power_steering,44100,1.5,1,1,Anomaly,3,Idle Fault,4,Power Steering Fault
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_59.wav,mix_59.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_255.wav,normal_engine_idle_255.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/combined/power steering combined_no oil_serpentine belt/mix_35.wav,mix_35.wav,idle state,combined/power steering combined_no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/power steering combined_serpentine belt/mix_90.wav,mix_90.wav,idle state,combined/power steering combined_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_8.wav,mix_8.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/braking state/normal_brakes/normal_brakes_10.wav,normal_brakes_10.wav,braking state,normal_brakes,44100,1.5,1,0,Normal,0,Normal Braking,0,Normal Braking
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_89.wav,mix_89.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_27.wav,serpentine_belt_27.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/idle state/power_steering/power_steering_25.wav,power_steering_25.wav,idle state,power_steering,44100,1.5,1,1,Anomaly,3,Idle Fault,4,Power Steering Fault
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_50.wav,mix_50.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_14.wav,serpentine_belt_14.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_15.wav,mix_15.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/startup state/normal_engine_startup/normal_engine_startup_45.wav,normal_engine_startup_45.wav,startup state,normal_engine_startup,44100,1.7,1,0,Normal,4,Normal Start-Up,6,Normal Start-Up
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_65.wav,normal_engine_idle_65.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_79.wav,normal_engine_idle_79.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_63.wav,mix_63.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_105.wav,serpentine_belt_105.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/idle state/low_oil/low_oil_41.wav,low_oil_41.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_221.wav,normal_engine_idle_221.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_95.wav,mix_95.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/braking state/normal_brakes/normal_brakes_2.wav,normal_brakes_2.wav,braking state,normal_brakes,44100,1.5,1,0,Normal,0,Normal Braking,0,Normal Braking
car_diagnostics_dataset/idle state/low_oil/low_oil_25.wav,low_oil_25.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/idle state/power_steering/power_steering_5.wav,power_steering_5.wav,idle state,power_steering,44100,1.5,1,1,Anomaly,3,Idle Fault,4,Power Steering Fault
car_diagnostics_dataset/idle state/combined/power steering combined_no oil_serpentine belt/mix_4.wav,mix_4.wav,idle state,combined/power steering combined_no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/low_oil/low_oil_47.wav,low_oil_47.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/idle state/low_oil/low_oil_61.wav,low_oil_61.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_111.wav,normal_engine_idle_111.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_134.wav,normal_engine_idle_134.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/braking state/worn_out_brakes/worn_out_brakes_6.wav,worn_out_brakes_6.wav,braking state,worn_out_brakes,44100,1.5,1,1,Anomaly,1,Braking Fault,1,Worn Brakes
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_259.wav,normal_engine_idle_259.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/startup state/dead_battery/dead_battery_32.wav,dead_battery_32.wav,startup state,dead_battery,44100,1.7,1,1,Anomaly,5,Start-Up Fault,8,Dead Battery
car_diagnostics_dataset/idle state/combined/power steering combined_serpentine belt/mix_43.wav,mix_43.wav,idle state,combined/power steering combined_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_53.wav,normal_engine_idle_53.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/power_steering/power_steering_53.wav,power_steering_53.wav,idle state,power_steering,44100,1.5,1,1,Anomaly,3,Idle Fault,4,Power Steering Fault
car_diagnostics_dataset/braking state/normal_brakes/normal_brakes_53.wav,normal_brakes_53.wav,braking state,normal_brakes,44100,1.5,1,0,Normal,0,Normal Braking,0,Normal Braking
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_2.wav,mix_2.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_90.wav,serpentine_belt_90.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_156.wav,normal_engine_idle_156.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/low_oil/low_oil_81.wav,low_oil_81.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_21.wav,mix_21.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/low_oil/low_oil_16.wav,low_oil_16.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_84.wav,mix_84.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/startup state/normal_engine_startup/normal_engine_startup_25.wav,normal_engine_startup_25.wav,startup state,normal_engine_startup,44100,1.7,1,0,Normal,4,Normal Start-Up,6,Normal Start-Up
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_14.wav,mix_14.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/power steering combined_serpentine belt/mix_97.wav,mix_97.wav,idle state,combined/power steering combined_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_152.wav,normal_engine_idle_152.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/combined/power steering combined_serpentine belt/mix_96.wav,mix_96.wav,idle state,combined/power steering combined_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/startup state/bad_ignition/bad_ignition_58.wav,bad_ignition_58.wav,startup state,bad_ignition,44100,1.7,1,1,Anomaly,5,Start-Up Fault,7,Bad Ignition
car_diagnostics_dataset/idle state/power_steering/power_steering_32.wav,power_steering_32.wav,idle state,power_steering,44100,1.5,1,1,Anomaly,3,Idle Fault,4,Power Steering Fault
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_78.wav,normal_engine_idle_78.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/combined/power steering combined_serpentine belt/mix_39.wav,mix_39.wav,idle state,combined/power steering combined_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_72.wav,normal_engine_idle_72.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_154.wav,normal_engine_idle_154.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/power_steering/power_steering_125.wav,power_steering_125.wav,idle state,power_steering,44100,1.5,1,1,Anomaly,3,Idle Fault,4,Power Steering Fault
car_diagnostics_dataset/braking state/normal_brakes/normal_brakes_12.wav,normal_brakes_12.wav,braking state,normal_brakes,44100,1.5,1,0,Normal,0,Normal Braking,0,Normal Braking
car_diagnostics_dataset/braking state/normal_brakes/normal_brakes_1.wav,normal_brakes_1.wav,braking state,normal_brakes,44100,1.5,1,0,Normal,0,Normal Braking,0,Normal Braking
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_54.wav,normal_engine_idle_54.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/combined/no oil_serpentine belt/mix_39.wav,mix_39.wav,idle state,combined/no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_172.wav,normal_engine_idle_172.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/startup state/bad_ignition/bad_ignition_37.wav,bad_ignition_37.wav,startup state,bad_ignition,44100,1.7,1,1,Anomaly,5,Start-Up Fault,7,Bad Ignition
car_diagnostics_dataset/braking state/worn_out_brakes/worn_out_brakes_65.wav,worn_out_brakes_65.wav,braking state,worn_out_brakes,44100,1.5,1,1,Anomaly,1,Braking Fault,1,Worn Brakes
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_224.wav,normal_engine_idle_224.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/low_oil/low_oil_104.wav,low_oil_104.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_62.wav,mix_62.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/startup state/normal_engine_startup/normal_engine_startup_26.wav,normal_engine_startup_26.wav,startup state,normal_engine_startup,44100,1.7,1,0,Normal,4,Normal Start-Up,6,Normal Start-Up
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_34.wav,serpentine_belt_34.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/braking state/worn_out_brakes/worn_out_brakes_42.wav,worn_out_brakes_42.wav,braking state,worn_out_brakes,44100,1.5,1,1,Anomaly,1,Braking Fault,1,Worn Brakes
car_diagnostics_dataset/idle state/power_steering/power_steering_27.wav,power_steering_27.wav,idle state,power_steering,44100,1.5,1,1,Anomaly,3,Idle Fault,4,Power Steering Fault
car_diagnostics_dataset/startup state/bad_ignition/bad_ignition_62.wav,bad_ignition_62.wav,startup state,bad_ignition,44100,1.7,1,1,Anomaly,5,Start-Up Fault,7,Bad Ignition
car_diagnostics_dataset/startup state/normal_engine_startup/normal_engine_startup_34.wav,normal_engine_startup_34.wav,startup state,normal_engine_startup,44100,1.7,1,0,Normal,4,Normal Start-Up,6,Normal Start-Up
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_8.wav,normal_engine_idle_8.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_241.wav,normal_engine_idle_241.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/startup state/normal_engine_startup/normal_engine_startup_46.wav,normal_engine_startup_46.wav,startup state,normal_engine_startup,44100,1.7,1,0,Normal,4,Normal Start-Up,6,Normal Start-Up
car_diagnostics_dataset/idle state/power_steering/power_steering_58.wav,power_steering_58.wav,idle state,power_steering,44100,1.5,1,1,Anomaly,3,Idle Fault,4,Power Steering Fault
car_diagnostics_dataset/idle state/combined/power steering combined_no oil_serpentine belt/mix_3.wav,mix_3.wav,idle state,combined/power steering combined_no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/startup state/dead_battery/dead_battery_21.wav,dead_battery_21.wav,startup state,dead_battery,44100,1.7,1,1,Anomaly,5,Start-Up Fault,8,Dead Battery
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_165.wav,normal_engine_idle_165.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_174.wav,normal_engine_idle_174.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/power_steering/power_steering_118.wav,power_steering_118.wav,idle state,power_steering,44100,1.5,1,1,Anomaly,3,Idle Fault,4,Power Steering Fault
car_diagnostics_dataset/idle state/low_oil/low_oil_27.wav,low_oil_27.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/idle state/combined/power steering combined_serpentine belt/mix_14.wav,mix_14.wav,idle state,combined/power steering combined_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/low_oil/low_oil_73.wav,low_oil_73.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/braking state/normal_brakes/normal_brakes_30.wav,normal_brakes_30.wav,braking state,normal_brakes,44100,1.5,1,0,Normal,0,Normal Braking,0,Normal Braking
car_diagnostics_dataset/idle state/combined/power steering combined_serpentine belt/mix_79.wav,mix_79.wav,idle state,combined/power steering combined_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_139.wav,normal_engine_idle_139.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/combined/power steering combined_serpentine belt/mix_30.wav,mix_30.wav,idle state,combined/power steering combined_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_112.wav,serpentine_belt_112.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/idle state/combined/power steering combined_no oil_serpentine belt/mix_54.wav,mix_54.wav,idle state,combined/power steering combined_no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/no oil_serpentine belt/mix_7.wav,mix_7.wav,idle state,combined/no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/startup state/bad_ignition/bad_ignition_20.wav,bad_ignition_20.wav,startup state,bad_ignition,44100,1.7,1,1,Anomaly,5,Start-Up Fault,7,Bad Ignition
car_diagnostics_dataset/idle state/combined/power steering combined_serpentine belt/mix_23.wav,mix_23.wav,idle state,combined/power steering combined_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/startup state/dead_battery/dead_battery_45.wav,dead_battery_45.wav,startup state,dead_battery,44100,1.7,1,1,Anomaly,5,Start-Up Fault,8,Dead Battery
car_diagnostics_dataset/idle state/power_steering/power_steering_4.wav,power_steering_4.wav,idle state,power_steering,44100,1.5,1,1,Anomaly,3,Idle Fault,4,Power Steering Fault
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_220.wav,normal_engine_idle_220.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_74.wav,normal_engine_idle_74.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/startup state/bad_ignition/bad_ignition_25.wav,bad_ignition_25.wav,startup state,bad_ignition,44100,1.7,1,1,Anomaly,5,Start-Up Fault,7,Bad Ignition
car_diagnostics_dataset/idle state/combined/power steering combined_no oil_serpentine belt/mix_103.wav,mix_103.wav,idle state,combined/power steering combined_no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_136.wav,normal_engine_idle_136.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_96.wav,serpentine_belt_96.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_57.wav,mix_57.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/power steering combined_no oil_serpentine belt/mix_19.wav,mix_19.wav,idle state,combined/power steering combined_no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_64.wav,mix_64.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/braking state/worn_out_brakes/worn_out_brakes_34.wav,worn_out_brakes_34.wav,braking state,worn_out_brakes,44100,1.5,1,1,Anomaly,1,Braking Fault,1,Worn Brakes
car_diagnostics_dataset/idle state/low_oil/low_oil_100.wav,low_oil_100.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_149.wav,normal_engine_idle_149.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/braking state/normal_brakes/normal_brakes_60.wav,normal_brakes_60.wav,braking state,normal_brakes,24000,1.5,1,0,Normal,0,Normal Braking,0,Normal Braking
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_80.wav,serpentine_belt_80.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/idle state/combined/no oil_serpentine belt/mix_13.wav,mix_13.wav,idle state,combined/no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/power steering combined_no oil_serpentine belt/mix_8.wav,mix_8.wav,idle state,combined/power steering combined_no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/startup state/dead_battery/dead_battery_56.wav,dead_battery_56.wav,startup state,dead_battery,44100,1.7,1,1,Anomaly,5,Start-Up Fault,8,Dead Battery
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_22.wav,normal_engine_idle_22.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_66.wav,serpentine_belt_66.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/idle state/combined/no oil_serpentine belt/mix_31.wav,mix_31.wav,idle state,combined/no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/no oil_serpentine belt/mix_66.wav,mix_66.wav,idle state,combined/no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_74.wav,mix_74.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/no oil_serpentine belt/mix_92.wav,mix_92.wav,idle state,combined/no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
